8,206,259,35
,182,266,34
,225,267,36
2,364,259,45
,321,266,43
,343,258,44
3,250,277,37
,294,277,42
,294,289,50
,250,291,38
6,338,278,48
,364,279,47
,385,278,46
,294,291,50
7,250,293,38
,227,288,39
,206,281,40
,182,281,41
,162,290,33
10,411,336,30
,411,381,28
,403,428,26
,382,461,24
,341,506,21
,296,529,18
,280,528,16
9,155,404,6
,165,441,8
,182,476,10
,226,520,13
,280,528,16
,244,393,55
,258,396,56
,261,431,78
5,244,392,55
,259,396,56
,271,392,57
,288,396,58
,303,385,59
,274,376,54
,275,356,53
,273,304,51
13,183,303,60
,208,290,62
,241,301,64
,209,312,66
,213,299,96
15,310,303,68
,368,299,72
,338,288,70
,341,306,74
,340,297,97
16,138,301,1
,144,323,2
,146,346,3
,154,384,5
17,414,292,32
,413,307,31
,410,335,30
,410,379,27
18,277,453,85
,258,451,86
,295,450,84
,227,438,76
,323,437,82
,277,439,90
